FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
D,POINT (-73.84247056811886 40.700906947047535),In Playground,Forest Park,4,Active,40.70090695,-73.84247057
A,POINT (-73.90241776582482 40.77782906036353),Near Ballfield,Woodtree Playground,4,Active,40.77782906,-73.90241777
D,POINT (-73.87755766652322 40.72095767645868),Out in Open,Juniper Valley Park,4,Active,40.72095768,-73.87755767
A,POINT (-73.85978446921648 40.720436561615145),"Under Tree, In Playground",The Painter's Playground,4,Active,40.72043656,-73.85978447
E Wheelchair,POINT (-73.97790068391477 40.710892417190195),"Under Tree, Near Ballfield",John V. Lindsay East River Park,1,Active,40.71089242,-73.97790068
E Wheelchair,POINT (-73.88460072079081 40.69062036783966),Out in Open,Highland Park,4,Active,40.69062037,-73.88460072
D,POINT (-73.9053338343462 40.81352720103616),"Under Tree, In Playground",Fountain Of Youth Playground,2,Active,40.8135272,-73.90533383
A,POINT (-73.86095259541281 40.73342825209711),Near Ballfield,Horace Harding Playground,4,Active,40.73342825,-73.86095259999998
A,POINT (-73.92571624708499 40.82308733727061),Out in Open,Franz Sigel Park,2,Active,40.82308734,-73.92571625
E Wheelchair Child,POINT (-73.96397169908562 40.777631842432946),In Playground,Central Park,1,Active,40.77763184,-73.9639717
E Wheelchair Child,POINT (-73.97619653840809 40.736109272277226),"Just Outside Playground, Near Ballfield",Asser Levy Playground,1,Active,40.73610927,-73.97619654
D,POINT (-73.95824577649833 40.692062017232324),Near Ballfield,Star Spangled Playground,3,Active,40.69206202,-73.95824578
A,POINT (-73.85881293857953 40.88776934391895),"Under Tree, In Shade, In Playground",Rienzi Playground,2,Active,40.88776934,-73.85881294
A,POINT (-73.93463272246585 40.77182740833203),In Playground,Hallets Cove Playground,4,Active,40.77182741,-73.93463272
F High Low,POINT (-73.91943426036589 40.63689409146381),"Out in Open, Just Outside Playground",Glenwood Playground,3,Active,40.63689409,-73.91943426
A,POINT (-73.76732679022858 40.59906642128006),Out in Open,Bayswater Park,4,Active,40.59906642,-73.76732679
F High Low,POINT (-73.86585178844273 40.843566312973856),Under Tree,Van Nest Park,2,Active,40.84356631,-73.86585179
A,POINT (-74.08983708200229 40.58289470214008),In Playground,Dongan Playground,5,Active,40.5828947,-74.08983708
A,POINT (-73.98635207379607 40.78382800859193),"Just Outside Playground, Near Ballfield, Out in Open",Riverside Park,1,Active,40.78382801,-73.98635207
E Wheelchair Child,POINT (-73.883781648395 40.677725458537644),"Under Tree, In Playground",Sperandeo Brothers Playground,3,Active,40.67772546,-73.88378165
C,POINT (-73.93995607212061 40.6746789689748),"In Playground, Out in Open",St. Mark's Playground,3,Active,40.67467897,-73.93995607
C,POINT (-73.92727302900934 40.665898097448),Under Tree,Lincoln Terrace / Arthur S. Somers Park,3,Active,40.6658981,-73.92727303
C,POINT (-73.78231990042197 40.67728075189273),In Playground,Baisley Pond Park,4,Active,40.67728075,-73.7823199
D,POINT (-73.74608302326126 40.59513869376141),Just Outside Playground,Beach 9 Playground,4,Active,40.59513869,-73.74608302
A,POINT (-73.71511304706546 40.7497143537693),Near Ballfield,Glen Oaks Oval,4,Active,40.74971435,-73.71511305
E Wheelchair,POINT (-73.96500135061895 40.78043708895184),"Under Tree, In Shade",Central Park,1,Active,40.78043709,-73.96500135
