FountainType,the_geom,Location,Place,BoroCode,Availability,Latitude,Longitude
E Wheelchair Dog,POINT (-74.01626796911216 40.704375763472086),"Under Tree, In Shade",The Battery,1,Active,40.70437576,-74.01626797
E Wheelchair,POINT (-73.94991467190484 40.79682749793056),"Under Tree, In Shade",Central Park,1,Active,40.7968275,-73.94991467
C,POINT (-73.99740400582272 40.696232108896744),"Under Tree, Out in Open, In Playground",Pierrepont Playground,3,Active,40.69623211,-73.99740401
A,POINT (-73.97664558074686 40.65023926719485),In Playground,Greenwood Playground,3,Active,40.65023927,-73.97664558
A,POINT (-73.87913371865373 40.72971270529313),"In Shade, Under Tree",Crowley Playground,4,Active,40.72971271,-73.87913372
D,POINT (-74.20873374868783 40.535206327574215),In Playground,Bloomingdale Park,5,Active,40.53520633,-74.20873375
E Wheelchair,POINT (-74.0056436205132 40.72016157188954),Under Tree,Tribeca Park,1,Active,40.72016157,-74.00564362
E Wheelchair Dog,POINT (-74.00765340106048 40.67817858544205),"Just Outside Playground, In Shade, Under Tree",Coffey Park,3,Active,40.67817859,-74.00765340000002
A,POINT (-74.01216904203022 40.64949212242323),In Playground,Pena Herrera Park,3,Active,40.64949212,-74.01216904
A,POINT (-73.8981264715423 40.7069683947598),"Under Tree, Just Outside Playground",Benninger Playground,4,Active,40.70696839,-73.89812647
C,POINT (-73.96461148166287 40.58238352169368),"In Playground, Under Tree, In Shade",Grady Playground,3,Active,40.58238352,-73.96461148
Other,POINT (-73.9867294766024 40.77364401900477),"Under Tree, Near Ballfield, In Playground",Samuel N. Bennerson 2nd Playground,1,Active,40.77364402,-73.98672948
C,POINT (-73.92321519095658 40.64328225765196),"Out in Open, In Playground",Harry Maze Playground,3,Active,40.64328226,-73.92321519
E Wheelchair,POINT (-73.93635489027649 40.71579542348026),Near Ballfield,Cooper Park,3,Active,40.71579542,-73.93635489
E Wheelchair,POINT (-73.86269215608193 40.57558372543684),Out in Open,Gwirtzman Triangle,4,Active,40.57558373,-73.86269216
A,POINT (-73.989170924334 40.58275002620619),"Near Ballfield, Out in Open",Coney Island Boat Basin,3,Active,40.58275003,-73.98917092
E Wheelchair,POINT (-73.98596757865417 40.60907927024916),"Out in Open, Just Outside Playground",Seth Low Playground/ Bealin Square,3,Active,40.60907927,-73.98596758
A,POINT (-73.98679232377607 40.783153008846746),"Out in Open, Just Outside Playground",Riverside Park,1,Active,40.78315301,-73.98679232
D,POINT (-73.98836849279384 40.779819939885506),Out in Open,Riverside Park South,1,Active,40.77981994,-73.98836849
C,POINT (-74.00207383450633 40.74167978046713),"Under Tree, Near Ballfield, In Playground",Dr. Gertrude B. Kelly Playground,1,Active,40.74167978,-74.00207383
D,POINT (-73.98615357749681 40.72182815042258),"Under Tree, In Playground, Near Ballfield",ABC Playground,1,Active,40.72182815,-73.98615358
A,POINT (-74.00242324019956 40.728720035704896),"Near Ballfield, In Shade, Under Tree",William F. Passannante Ballfield,1,Active,40.72872004,-74.00242324
C,POINT (-73.96063396740394 40.689169746695875),"Under Tree, Out in Open, In Playground",Classon Playground,3,Active,40.68916975,-73.96063397
D,POINT (-73.84284225436608 40.86797014781078),"Under Tree, In Shade, In Playground",Givan Square,2,Active,40.86797015,-73.84284225
A,POINT (-73.89012002485642 40.68744983352633),In Shade,Highland Park,4,Active,40.68744983,-73.89012002
A,POINT (-73.84827834835478 40.7413774215049),"Near Ballfield, Just Outside Playground",Flushing Meadows Corona Park,4,Active,40.74137742,-73.84827835
Other,POINT (-73.90361858293153 40.72753093738066),Under Tree,Frank Principe Park,4,Active,40.72753094,-73.90361858
C,POINT (-73.84054373798779 40.74843557294201),Out in Open,Flushing Meadows Corona Park,4,Active,40.74843557,-73.84054374
C,POINT (-73.89174157523 40.70672395379085),Near Ballfield,Mafera Park,4,Active,40.70672395,-73.89174158
C,POINT (-73.98431040351434 40.62413569050602),"Out in Open, Just Outside Playground",Gravesend Park,3,Active,40.62413569,-73.9843104
C,POINT (-73.80840666300054 40.74231161084717),"Out in Open, In Playground",Kissena Park,4,Active,40.74231161,-73.80840666
Other,POINT (-74.01732013952734 40.714483216482776),Under Tree,Battery Park City,1,Active,40.71448322,-74.01732014
E Wheelchair,POINT (-73.99723548023358 40.730531638686465),Out in Open,Washington Square Park,1,Active,40.73053164,-73.99723548
Bottle Filler High Low,POINT (-73.93582212473594 40.69271001533729),In Playground,Eleanor Roosevelt Playground,3,Active,40.69271002,-73.93582212
Other,POINT (-73.91790713178757 40.68524778613296),"Under Tree, In Playground",Saratoga Park,3,Active,40.68524779,-73.91790713
D,POINT (-73.84286532195077 40.70096389120773),In Playground,Forest Park,4,Active,40.70096389,-73.84286532
E Wheelchair,POINT (-73.93378933718269 40.67505033840249),Out in Open,St. John's Recreation Center,3,Active,40.67505034,-73.93378934
E Wheelchair,POINT (-73.99788621883397 40.71025918521188),Near Ballfield,Alfred E. Smith Playground,1,Active,40.71025919,-73.99788622
A,POINT (-74.00603792901745 40.67243037464138),Out in Open,Red Hook Recreation Area,3,Active,40.67243037,-74.00603793
D,POINT (-73.84193500452582 40.74043145266937),"Under Tree, Out in Open",Grand Central Parkway Extension,4,Active,40.74043145,-73.84193499999998
A,POINT (-73.78503319693438 40.70318723462273),In Shade,Detective Keith L Williams Park,4,Active,40.70318723,-73.7850332
A,POINT (-74.0915896986128 40.62859818225005),Out in Open,Silver Lake Park,5,Active,40.62859818,-74.0915897
Bottle Filler Fountain,POINT (-73.9679238156743 40.65340702987699),"Under Tree, In Shade, Out in Open",Prospect Park,3,Active,40.65340703,-73.96792382
E Wheelchair,POINT (-73.98334929585143 40.57265277440958),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57265277,-73.9833493
E Wheelchair,POINT (-73.8849788948564 40.73068049024014),Out in Open,Elmhurst Park,4,Active,40.73068049,-73.88497889
Other,POINT (-73.93028739438122 40.86380628332326),Under Tree,Fort Tryon Park,1,Active,40.86380628,-73.93028739
A,POINT (-74.00458783283666 40.67265569646671),Out in Open,Red Hook Recreation Area,3,Active,40.6726557,-74.00458783
Other,POINT (-73.95225380388891 40.81798196839418),"Near Ballfield, Just Outside Playground",Annunciation Playground,1,Active,40.81798197,-73.9522538
A,POINT (-73.96787068343025 40.66972476180353),,Prospect Park,3,Active,40.66972476,-73.96787068
E Wheelchair,POINT (-73.99456136523115 40.57143607922636),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57143608,-73.99456137
A,POINT (-74.01097258666516 40.602585425577026),Under Tree,Bath Beach Park,3,Active,40.60258543,-74.01097259
D,POINT (-74.06521231709507 40.59103751430641),Near Ballfield,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.59103751,-74.06521232
CS Metal,POINT (-74.0191765917712 40.653293181653964),Near Ballfield,Bush Terminal Park,3,Active,40.65329318,-74.01917659
B,POINT (-73.9770010567385 40.77181245060542),"Under Tree, In Shade, Out in Open",Central Park,1,Active,40.77181245,-73.97700106
A,POINT (-73.81413047599146 40.82326347481371),"Under Tree, Out in Open",Bicentennial Veterans Memorial Park,2,Active,40.82326347,-73.81413048
CS Concrete,POINT (-74.1856786050053 40.52220468774808),In Playground,E.M.T. Christopher J. Prescott Playground,5,Active,40.52220469,-74.18567861
E Wheelchair,POINT (-73.88955071395726 40.88111539722074),Out in Open,Jerome Park,2,Active,40.8811154,-73.88955071
E,POINT (-73.89500318525224 40.83659810260071),Out in Open,Crotona Park,2,Active,40.8365981,-73.89500319
Pedestal,POINT (-73.91776206778891 40.795585942010305),"Out in Open, Near Ballfield",Randall's Island Park,1,Active,40.79558594,-73.91776207
B,POINT (-73.98213149639126 40.72694687963521),"In Playground, Near Ballfield",Tompkins Square Park,1,Active,40.72694688,-73.9821315
C,POINT (-73.85805850211362 40.761448944119955),Out in open,Grand Central Parkway Extension,4,Active,40.76144894,-73.8580585
CS Concrete,POINT (-73.88681473569041 40.65577893501757),In Playground,Ethan Allen Playground,3,Active,40.65577894,-73.88681474
A,POINT (-73.96609333401265 40.65280063770007),"Out in Open, Near Ballfield",Parade Ground,3,Active,40.65280064,-73.96609333
A,POINT (-73.91019192033649 40.747358743599634),"Under Tree, Just Outside Playground",Lawrence Virgilio Playground,4,Active,40.74735874,-73.91019192
A,POINT (-73.80520669896744 40.73623136862756),Out in Open,Electric Playground,4,Active,40.73623137,-73.8052067
A,POINT (-74.08754251070087 40.571007811391695),Out in Open,Franklin D. Roosevelt Boardwalk and Beach,5,Active,40.57100781,-74.08754251
D,POINT (-74.08997208516342 40.639260871276015),Under Tree,Jones Woods Park,5,Active,40.63926087,-74.08997209
E Wheelchair,POINT (-73.97273628820487 40.722371907752894),Near Ballfield,John V. Lindsay East River Park,1,Active,40.72237191,-73.97273629
A,POINT (-73.92370872268175 40.70387700188239),Near Ballfield,Maria Hernandez Park,3,Active,40.703877,-73.92370872
E Wheelchair,POINT (-73.82510496905898 40.84842752173045),In Playground,Pelham Bay Park,2,Active,40.84842752,-73.82510497
A,POINT (-73.78830235140744 40.870273344908526),Out in Open,Pelham Bay Park,2,Active,40.87027334,-73.78830235
C,POINT (-73.90600050343777 40.871998228777244),"In Playground, Under Tree",Riverbend Playground,2,Active,40.87199823,-73.9060005
A,POINT (-73.83858288889434 40.746351331325),Under Tree,Flushing Meadows Corona Park,4,Active,40.74635133,-73.83858289
D,POINT (-73.78052005246587 40.692604681103276),Near Ballfield,St. Albans Park,4,Active,40.69260468,-73.78052005
A,POINT (-73.90405111042894 40.84532084113905),"Under Tree, In Playground",Cleopatra Playground,2,Active,40.84532084,-73.90405111
C,POINT (-73.93587725987466 40.60866654657479),Just Outside Playground,Marine Park,3,Active,40.60866655,-73.93587726
Other,POINT (-73.87389306702221 40.82760138690749),Near Ballfield,Bronx River Parkway,2,Active,40.82760139,-73.87389307
E Wheelchair,POINT (-74.00111261958646 40.57213276830626),Out in Open,Coney Island Beach & Boardwalk,3,Active,40.57213277,-74.00111262
A,POINT (-73.88051286062016 40.720995595053274),Near Ballfield,Juniper Valley Park,4,Active,40.7209956,-73.88051286
E Wheelchair,POINT (-74.19250697632565 40.591001423913646),Out in Open,Sylvan Grove Cemetery,5,Active,40.59100142,-74.19250698
B,POINT (-74.13466278402355 40.61984365004865),Out in Open,Westerleigh Park,5,Active,40.61984365,-74.13466278
A,POINT (-73.9691489279804 40.804408594806674),Out in Open,Riverside Park,1,Active,40.80440859,-73.96914893
E Wheelchair Dog,POINT (-74.01471544935625 40.70395441591994),Under Tree,The Battery,1,Active,40.70395442,-74.01471545
C,POINT (-73.94047251379399 40.57753166184566),In Playground,Manhattan Beach Park,3,Active,40.57753166,-73.94047251
C,POINT (-73.99534397138845 40.578349376402066),"Out in Open, In Playground",Kaiser Park,3,Active,40.57834938,-73.99534397
A,POINT (-74.15196450426406 40.54688671148682),In Playground,Great Kills Park,5,Active,40.54688671,-74.1519645
C,POINT (-73.88155228547986 40.817842880718885),In Shade,Hunts Point Riverside Park,2,Active,40.81784288,-73.88155229
A,POINT (-73.86143222936266 40.74837284759702),"Out in Open, Near Ballfield",Park Of The Americas,4,Active,40.74837285,-73.86143223
D,POINT (-73.92668871045217 40.825681248284084),"In Playground, Out in Open",River Avenue Parks,2,Active,40.82568125,-73.92668871
A,POINT (-73.98557825465977 40.59445497597914),"Under Tree, In Shade, In Playground",Lafayette Playground,3,Active,40.59445498,-73.98557825
A,POINT (-73.81283797164888 40.74662148033163),Near Ballfield,Kissena Park,4,Active,40.74662148,-73.81283797
C,POINT (-73.91828394471898 40.69500513094034),Near Ballfield,Heckscher Playground,3,Active,40.69500513,-73.91828394
C,POINT (-73.90659335217818 40.66743308415018),"Under Tree, In Shade, Out in Open, Just Outside Playground",Dr. Green Playground,3,Active,40.66743308,-73.90659335
A,POINT (-73.96226718672769 40.69258282643545),"In Playground, Under Tree",Pratt Playground,3,Active,40.69258283,-73.96226719
A,POINT (-73.79191509523044 40.8687291974809),Under Tree,Pelham Bay Park,2,Active,40.8687292,-73.7919151
C,POINT (-73.92188003326336 40.65865993363679),"Out in Open, In Playground, In Shade",Kennedy King Playground,3,Active,40.65865993,-73.92188003
D,POINT (-73.76791162023117 40.599778213914504),Near Ballfield,Bayswater Park,4,Active,40.59977821,-73.76791162
CS Concrete,POINT (-73.98479840907665 40.78340932136799),In Playground,Riverside Park,1,Active,40.78340932,-73.98479841
A,POINT (-73.92538193790725 40.593855511780106),Near Ballfield,Marine Park,3,Active,40.59385551,-73.92538194
E Wheelchair Child,POINT (-73.86805122557668 40.70256506964099),Just Outside Playground,Forest Park,4,Active,40.70256507,-73.86805123
A,POINT (-73.97353281427336 40.681230758584164),"In Playground, Under Tree",Dean Playground,3,Active,40.68123076,-73.97353281
A,POINT (-73.83667393325119 40.75036644999488),Out in Open,Flushing Meadows Corona Park,4,Active,40.75036645,-73.83667393
C,POINT (-73.77935109405628 40.770977006862765),In Playground,Kennedy Playground,4,Active,40.77097701,-73.77935109
A,POINT (-73.99325276537682 40.71111848324132),"Under Tree, In Shade, Near Ballfield, Just Outside Playground",Coleman Playground,1,Active,40.71111848,-73.99325277
C,POINT (-73.93929021771686 40.816874573784006),"Under Tree, In Shade, Near Ballfield, Just Outside Playground",Fred Samuel Playground,1,Active,40.81687457,-73.93929022
Bottle Filler High Low,POINT (-73.9787995932386 40.66157561227531),Out in Open,Prospect Park,3,Active,40.66157561,-73.97879959
B,POINT (-73.97063653740511 40.80477809407796),Near Ballfield,Riverside Park,1,Active,40.80477809,-73.97063654
Bottle Filler High Low,POINT (-73.98363708335415 40.71430206756223),"Under Tree, Near Ballfield, In Playground",Sol Lain Plgd,1,Active,40.71430207,-73.98363708
F Dog,POINT (-73.99040200383057 40.71899775155472),Out in Open,Allen Mall One,1,Active,40.71899775,-73.990402
E High Low,POINT (-74.00327635209798 40.72681874070257),Under Tree,Father Fagan Park,1,Active,40.72681874,-74.00327635
D,POINT (-73.99299607150836 40.595401272190536),Out in Open,Bath Playground,3,Active,40.59540127,-73.99299607
CS Metal,POINT (-73.87185006485875 40.83686403090535),"In Playground, In Shade, Near Ballfield",Noble Playground,2,Active,40.83686403,-73.87185006
Other,POINT (-73.85469975031256 40.67328075916452),Under Tree,Tudor Park,4,Active,40.67328076,-73.85469975
B,POINT (-73.98196589475974 40.78744082797004),"Out in Open, Just Outside Playground",Riverside Park,1,Active,40.78744083,-73.98196589
E High Low,POINT (-73.97645262284233 40.661363796484146),"Near Ballfield, Out in Open",Prospect Park,3,Active,40.6613638,-73.97645262
Other,POINT (-73.98939109825608 40.71006827391881),"Near Ballfield, In Shade",East River Waterfront Esplanade,1,Active,40.71006827,-73.98939109999998
C,POINT (-73.8625945007143 40.666701390972364),In Playground,Pink Playground,3,Active,40.66670139,-73.8625945
B,POINT (-73.91847504463269 40.882438715088384),"Under Tree, In Shade",Henry Hudson Park,2,Active,40.88243872,-73.91847504
A,POINT (-73.92780848257186 40.66648064901835),"Under Tree, In Playground",Lincoln Terrace / Arthur S. Somers Park,3,Active,40.66648065,-73.92780848
C,POINT (-73.96835932308288 40.61027188941506),"Under Tree, In Playground, Out in Open",Colonel David Marcus Playground,3,Active,40.61027189,-73.96835932
E Wheelchair,POINT (-73.89850396485852 40.88683456118932),"Out in Open, Just Outside Playground",Van Cortlandt Park,2,Active,40.88683456,-73.89850396
Trough,POINT (-73.81683258927696 40.58289594243219),Out in Open,Rockaway Beach Boardwalk,4,Active,40.58289594,-73.81683259
D,POINT (-74.2099058534571 40.535052781824554),Near Ballfield,Bloomingdale Park,5,Active,40.53505278,-74.20990585
A,POINT (-73.70951864446057 40.74479172657429),Near Ballfield,Playground Eighty LXXX,4,Active,40.74479173,-73.70951864
A,POINT (-73.8874348065363 40.657974942291574),"Under Tree, In Playground",Linden Park,3,Active,40.65797494,-73.88743481
A,POINT (-73.97211178052817 40.618544523089255),Just Outside Playground,Friends Field,3,Active,40.61854452,-73.97211178
D,POINT (-73.9608893755546 40.70067785100997),"Under Tree, In Shade, Just Outside Playground",Penn Triangle,3,Active,40.70067785,-73.96088938
Other,POINT (-73.87356298753475 40.81947019797398),Just Outside Playground,Soundview Park,2,Active,40.81947020000001,-73.87356299
A,POINT (-73.80921625429845 40.58808967752658),Near Ballfield,Hammel Playground,4,Active,40.58808968,-73.80921625
A,POINT (-73.90515858242404 40.72714173726125),Near Ballfield,Frank Principe Park,4,Active,40.72714174,-73.90515858
E Wheelchair Dog,POINT (-73.96726162061226 40.78473441504241),"Under Tree, Out in Open",Central Park,1,Active,40.78473442,-73.96726162
D,POINT (-73.97478656426448 40.69195664033945),Out in Open,Fort Greene Park,3,Active,40.69195664,-73.97478656
F High Low,POINT (-73.83455147576306 40.852269040419785),Out in Open,Colucci Playground,2,Active,40.85226904,-73.83455148
E Wheelchair,POINT (-73.95477431579909 40.743338875455436),"Under Tree, In Playground",Andrews Grove,4,Active,40.74333888,-73.95477432
B,POINT (-73.93709618310483 40.793221853349586),"Under Tree, Near Ballfield",Thomas Jefferson Park,1,Active,40.79322185,-73.93709618
B,POINT (-73.9512316011198 40.79707362891633),"Under Tree, In Shade, Just Outside Playground",Central Park,1,Active,40.79707363,-73.9512316
